name,genre,developer,esrb_rating
Grand Theft Auto IV,Action,Rockstar Games,M
Fortnite,Battle Royale,Epic Games,T
FIFA 24,c,EA Sports,E
The Legend of Zelda: Breath of the Wild,Adventure,Nintendo,E10+
Call of Duty: Modern Warfare 3,Shooter,Infinity Ward,M
Minecraft,Sandbox,Mojang,E10+
God of War,RPG,Santa Monica Studio,M
Super Mario Odyssey,Platformer,Nintendo,E10+
Read Dead Redemption,Action-Adventure,Rockstar Games,M
League of Legends,MOBA,Riot Games,T
